读音,对应的汉字
えき,"益, 疫, 液, 易, 役, 駅"
えん,"俺, 渕, 延, 遠, 宴, 援, 鉛, 円, 垣, 炎, 煙, 圧, 媛, 沿, 塩, 縁, 園, 淵, 演, 猿, 堰"
おう,"桜, 応, 押, 鷹, 横, 区, 圧, 往, 黄, 鴨, 皇, 奥, 王, 殴, 欧, 央"
おか,"丘, 略, 陸, 侵, 冒, 岡, 犯"
おく,"後, 遅, 贈, 送, 億, 奥, 帰, 憶, 屋"
おん,"遠, 穏, 音, 飲, 恩, 温, 隠, 雄, 闇"
かい,"開, 掛, 届, 介, 壊, 解, 怪, 街, 芥, 絵, 堺, 械, 快, 塊, 懐, 画, 改, 悔, 灰, 拐, 回, 会, 階, 界, 皆, 刈, 戒, 海, 貝"
かえ,"還, 反, 却, 帰, 返"
かく,"潜, 殻, 獲, 閣, 渕, 較, 隔, 覚, 革, 画, 各, 客, 核, 穫, 郭, 蔵, 隠, 拡, 角, 確, 脚, 秘, 淵, 格, 鶴"
かさ,"重, 畳, 笠, 襲, 傘"
かた,"堅, 傾, 片, 語, 形, 渕, 潟, 型, 淵, 硬, 固, 方, 難, 肩"
かつ,"轄, 喝, 滑, 渇, 割, 括, 勝, 担, 活, 葛, 曽"
かま,"缶, 蒲, 構, 釜, 鎌"
かみ,"髪, 守, 上, 紙, 神"
から,"韓, 殻, 辛, 絡, 空, 唐"
かわ,"煕, 革, 交, 渇, 乾, 代, 逓, 側, 河, 皮, 川"
かん,"菅, 環, 寒, 寛, 乾, 堪, 管, 憾, 患, 喚, 漢, 函, 勘, 還, 韓, 観, 慣, 換, 官, 艦, 監, 冠, 汗, 完, 肝, 款, 関, 歓, 館, 簡, 勧, 看, 閑, 缶, 感, 幹, 鑑, 敢, 間, 刊, 貫, 緩, 陥, 甲, 干, 巻, 甘, 亘"
がい,"外, 該, 街, 概, 害, 慨, 刈, 涯, 崔"
がん,"岩, 巌, 顔, 含, 丸, 眼, 願, 岸, 頑, 元"
きゅう,"丘, 久, 求, 急, 及, 泣, 救, 糾, 吸, 亀, 球, 級, 弓, 九, 扱, 宮, 朽, 休, 窮, 鳩, 旧, 給, 究"
きょ,"許, 距, 拠, 据, 巨, 拒, 去, 居, 虚, 挙"
きょう,"脅, 挟, 狭, 敬, 共, 兄, 峡, 叫, 喬, 軽, 競, 脇, 鏡, 供, 続, 胸, 姜, 暁, 校, 協, 境, 強, 郷, 響, 橋, 享, 京, 趙, 孝, 亨, 興, 狂, 経, 香, 窮, 教, 況, 凶, 驚, 恐, 恭"
きわ,"谷, 際, 窮, 極, 究"
きん,"緊, 近, 京, 経, 均, 亀, 菌, 錦, 筋, 金, 琴, 勤, 訓, 軽, 今, 禁"
ぎょう,"形, 行, 暁, 業, 凝, 仰"
くら,"庫, 夢, 比, 幽, 暗, 倉, 蔵, 闇, 較, 競"
けい,"傾, 掛, 形, 敬, 兄, 警, 軽, 競, 系, 計, 掲, 憩, 鏡, 携, 型, 景, 境, 刑, 恵, 京, 継, 径, 啓, 鶏, 係, 経, 圭, 慶, 契, 桂"
けつ,"決, 欠, 傑, 結, 穴, 潔, 血"
けん,"菅, 献, 乾, 権, 顕, 兼, 鎌, 県, 欠, 謙, 圏, 絹, 剣, 懸, 憲, 券, 検, 見, 建, 嫌, 賢, 健, 研, 簡, 験, 勧, 険, 堅, 間, 件, 軒, 拳, 犬, 巻, 遣, 肩"
げん,"原, 玄, 減, 言, 彦, 厳, 弦, 拳, 現, 眼, 幻, 限, 験, 嫌, 源, 元"
