读音,对应的汉字
ふえ,笛
ふく,"含, 膨"
ふくろ,袋
ふし,節
ふじ,藤
ふち,"淵, 縁, 渕"
ふで,筆
ふところ,懐
ふね,"船, 槽, 舟"
ふゆ,冬
ぶた,豚
へい,瓶
へび,蛇
へり,縁
ほう,朴
ほか,"外, 他"
ほこ,"矛, 誇"
ほし,星
ほとけ,仏
ほど,"程, 解"
ほね,骨
ほのお,炎
ほら,洞
ほり,堀
ほろ,"滅, 亡, 幌"
まい,"舞, 参"
まえ,前
まき,"巻, 槙, 牧"
まこと,"誠, 実, 真"
まご,孫
まさ,"優, 勝, 当, 正, 多, 将"
また,"又, 也, 俣, 復"
まち,"街, 町"
まつ,"松, 祭, 須, 奉"
まつり,祭
まつりごと,政
まど,"円, 窓, 惑"
まぼろし,幻
まめ,豆
まる,"円, 団, 丸"
まれ,希
まん,政
みかど,帝
みぎ,右
みさお,操
みさき,"崎, 岬, 埼"
みず,水
みずうみ,湖
みせ,店
みぞ,溝
みち,"途, 路, 実, 径, 道"
みつ,"参, 貢"
みどり,緑
みな,皆
みなと,港
みなみ,南
みね,"嶺, 峰"
みみ,耳
みや,"雅, 宮"
みやこ,"都, 畿, 京"
むかし,昔
むぎ,麦
むし,"虫, 寧"
むすめ,娘
むね,"旨, 胸, 棟, 宗"
むら,"党, 群, 村"
むらさき,紫
めし,飯
めす,雌
めん,雌
もう,"申, 設"
もと,"求, 本, 許, 下, 元, 故, 素, 亘, 旧, 須, 質, 基"
もの,"者, 物"
もも,"桃, 百"
もり,"守, 森"
やから,"輩, 属"
やす,"靖, 安, 易, 休"
やつ,奴
やど,"宿, 舎"
やなぎ,"楊, 柳"
やま,山
やみ,闇
ゆう,夕
ゆえ,故
ゆき,雪
ゆび,指
ゆみ,弓
ゆめ,夢
よう,八
よこ,横
よし,"善, 吉, 由, 芦"
よど,淀
よめ,"婦, 嫁"
より,従
よる,夜
わき,"傍, 脇"
わく,"沖, 枠"
わけ,"脇, 訳"
わざ,"芸, 業, 技, 態"
わし,鷲
わたし,"済, 私"
わらべ,童
わり,割
われ,"台, 吾, 俺, 我"
